Broad discipline,College/School,Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls
Agriculture & Natural Resources,Not applicable,"Environmental systems - ecology, behavior, evolution",3.28 - 3.58,0.540983607,3.12 - 3.49,0.484848485,33,61,16
Agriculture & Natural Resources,Not applicable,Environmental systems - environmental chemistry,3.28 - 3.65,0.739130435,masked,0.235294118,17,23,4
Agriculture & Natural Resources,Not applicable,Environmental systems - environmental policy,3.29 - 3.76,0.465517241,masked,0.148148148,27,58,4
Architecture & Environ Design,Not applicable,Real estate and development,3.23 - 3.69,0.58974359,3.33 - 3.72,0.391304348,23,39,9
"Area, Ethn, Cultur & Gender Stu",Not applicable,Chinese studies,3.54 - 3.92,0.461538462,3.12 - 3.70,0.222222222,36,78,8
"Area, Ethn, Cultur & Gender Stu",Not applicable,Ethnic studies,3.25 - 3.66,0.4,masked,0.166666667,18,45,3
"Area, Ethn, Cultur & Gender Stu",Not applicable,Japanese studies,3.34 - 3.75,0.61038961,3.16 - 3.50,0.255319149,47,77,12
Biological Sciences,Not applicable,Bioengineering - bioinformatics,3.37 - 3.64,0.538461538,masked,0.571428571,7,13,4
Biological Sciences,Not applicable,Biology,3.37 - 3.82,0.420722135,3.21 - 3.64,0.320895522,268,637,86
Biological Sciences,Not applicable,Computer science - bioinformatics,3.40 - 3.84,0.384615385,masked,0.8,5,13,4
Biological Sciences,Not applicable,"Ecology, behavior & evolution",3.35 - 3.77,0.333333333,masked,0.181818182,22,66,4
Biological Sciences,Not applicable,Human biology,3.39 - 3.83,0.512621359,3.18 - 3.68,0.484848485,264,515,128
Biological Sciences,Not applicable,Marine biology,3.19 - 3.62,0.484126984,3.32 - 3.51,0.590163934,61,126,36
Biological Sciences,Not applicable,Microbiology,3.44 - 3.87,0.452991453,3.44 - 3.73,0.358490566,53,117,19
Biological Sciences,Not applicable,Molecular & cell biology,3.42 - 3.85,0.545787546,3.32 - 3.74,0.308724832,149,273,46
Biological Sciences,Not applicable,Neurobiology,3.54 - 3.89,0.5,3.44 - 3.75,0.322222222,90,180,29
Business & Management,Not applicable,Management science,3.57 - 3.93,0.487654321,3.39 - 3.76,0.341772152,79,162,27
"Communication, Journalism & Rel",Not applicable,Communication arts,3.36 - 3.85,0.534653465,3.18 - 3.76,0.28956229,594,1111,172
Computer & Information Sciences,Not applicable,Computer science,3.53 - 3.89,0.287014563,3.44 - 3.82,0.545454545,473,1648,258
Education,Not applicable,Mathematics/secondary education,3.42 - 3.70,0.423076923,masked,0.363636364,11,26,4
Engineering,Not applicable,Aerospace engineering,3.38 - 3.79,0.310734463,3.33 - 3.69,0.6,55,177,33
Engineering,Not applicable,Bioengineering,3.57 - 3.94,0.303278689,3.58 - 3.93,0.567567568,37,122,21
Engineering,Not applicable,Bioengineering (biotech),3.53 - 3.88,0.4,3.50 - 3.81,0.444444444,18,45,8
Engineering,Not applicable,Bioengineering: biosystems,3.60 - 3.84,0.692307692,masked,0.444444444,9,13,4
Engineering,Not applicable,Chemical engineering,3.44 - 3.90,0.577981651,3.39 - 3.75,0.30952381,126,218,39
Engineering,Not applicable,Computer engineering,3.48 - 3.89,0.654205607,3.35 - 3.70,0.471428571,70,107,33
Engineering,Not applicable,Electrical engineering - bs,3.48 - 3.88,0.508045977,3.38 - 3.74,0.312217195,221,435,69
Engineering,Not applicable,Engineering physics,3.54 - 3.93,0.368421053,masked,0.428571429,7,19,3
Engineering,Not applicable,Environmental engineering,3.52 - 3.89,0.389830508,3.31 - 3.64,0.304347826,23,59,7
Engineering,Not applicable,Mechanical engineering,3.50 - 3.80,0.244642857,3.45 - 3.73,0.554744526,137,560,76
Engineering,Not applicable,Nanoengineering,3.38 - 3.88,0.666666667,3.33 - 3.67,0.4,20,30,8
Engineering,Not applicable,Structural engineering,3.47 - 3.83,0.559210526,3.35 - 3.72,0.411764706,85,152,35
Family & Consumer Sci/Human Sci,Not applicable,Pre-human development,3.25 - 3.64,0.512195122,3.19 - 3.54,0.380952381,42,82,16
Fine & Applied Arts,Not applicable,Art history/criticism,3.52 - 3.89,0.479166667,3.10 - 3.31,0.260869565,23,48,6
Fine & Applied Arts,Not applicable,Dance,3.26 - 3.72,0.458333333,masked,0.272727273,11,24,3
Fine & Applied Arts,Not applicable,Drama,3.35 - 3.86,0.590604027,3.22 - 3.77,0.363636364,88,149,32
Fine & Applied Arts,Not applicable,Music,3.27 - 3.87,0.666666667,3.15 - 3.87,0.366666667,30,45,11
Fine & Applied Arts,Not applicable,Speculative design,3.30 - 3.74,0.653846154,3.23 - 3.60,0.470588235,17,26,8
Fine & Applied Arts,Not applicable,Studio art,3.44 - 3.78,0.514492754,3.34 - 3.74,0.394366197,71,138,28
Fine & Applied Arts,Not applicable,Visual arts - media,3.44 - 3.85,0.543147208,3.36 - 3.76,0.38317757,107,197,41
Foreign Languages & Lliterature,Not applicable,Linguistics,3.40 - 3.86,0.606741573,3.04 - 3.64,0.277777778,54,89,15
Foreign Languages & Lliterature,Not applicable,Linguistics - languages studies,3.24 - 3.80,0.625,3.19 - 3.60,0.45,20,32,9
Foreign Languages & Lliterature,Not applicable,Linguistics (languages & society),3.33 - 3.90,0.681818182,3.11 - 3.60,0.333333333,15,22,5
Interdisciplinary Studies,Not applicable,Cognitive and behavioral neuroscience,3.44 - 3.88,0.457627119,3.08 - 3.82,0.333333333,27,59,9
Interdisciplinary Studies,Not applicable,Cognitive science,3.25 - 3.73,0.681102362,3.25 - 3.56,0.421965318,173,254,73
Interdisciplinary Studies,Not applicable,Interdisciplinary computer & the arts,3.11 - 3.60,0.529411765,2.99 - 3.45,0.555555556,9,17,5
Interdisciplinary Studies,Not applicable,International studies - economics,3.41 - 3.84,0.676470588,3.37 - 3.78,0.489130435,184,272,90
Interdisciplinary Studies,Not applicable,International studies - international business,3.46 - 3.88,0.595155709,3.40 - 3.77,0.465116279,344,578,160
Interdisciplinary Studies,Not applicable,International studies - political science,3.50 - 3.92,0.588888889,3.22 - 3.64,0.320754717,53,90,17
Interdisciplinary Studies,Not applicable,International studies - sociology,3.78 - 3.91,0.527777778,3.65 - 3.76,0.184210526,38,72,7
Interdisciplinary Studies,Not applicable,Mathematics - computer science,3.44 - 3.84,0.6625,3.34 - 3.77,0.358490566,106,160,38
Letters,Not applicable,Composite in literature,3.50 - 3.90,0.535714286,masked,0.2,15,28,3
Letters,Not applicable,History,3.45 - 3.86,0.587096774,3.13 - 3.77,0.153846154,182,310,28
Letters,Not applicable,"Literature, english/american",3.44 - 3.87,0.529411765,3.13 - 3.64,0.170940171,117,221,20
Letters,Not applicable,Literature/cultural studies,3.47 - 4.00,0.438596491,3.02 - 3.67,0.2,25,57,5
Letters,Not applicable,Literature/writing,3.41 - 3.86,0.564356436,3.37 - 3.63,0.245614035,57,101,14
Letters,Not applicable,Philosophy,3.47 - 3.88,0.57312253,3.10 - 3.51,0.172413793,145,253,25
Mathematics,Not applicable,Applied mathematics,3.48 - 3.92,0.564853556,3.34 - 3.72,0.288888889,135,239,39
Mathematics,Not applicable,Mathematics,3.46 - 3.92,0.52238806,3.32 - 3.72,0.292857143,140,268,41
Mathematics,Not applicable,Mathematics - applied science,3.56 - 3.91,0.6,3.08 - 3.56,0.285714286,21,35,6
Mathematics,Not applicable,Mathematics/economics,3.60 - 3.95,0.545977011,3.48 - 3.80,0.284210526,95,174,27
Mathematics,Not applicable,Probability and statistics,3.70 - 3.98,0.550458716,3.54 - 3.79,0.191666667,120,218,23
Physical Sciences,Not applicable,Chemistry,3.38 - 3.83,0.5,3.24 - 3.66,0.296610169,118,236,35
Physical Sciences,Not applicable,Chemistry - biochemistry,3.49 - 3.86,0.572463768,3.32 - 3.77,0.367088608,158,276,58
Physical Sciences,Not applicable,Chemistry - environmental science,3.37 - 3.95,0.461538462,masked,0.5,6,13,3
Physical Sciences,Not applicable,Natural sciences,3.38 - 3.74,0.352112676,3.47 - 3.78,0.28,25,71,7
Physical Sciences,Not applicable,Oceanic and atmospheric sciences,3.22 - 3.81,0.611111111,3.02 - 3.32,0.636363636,11,18,7
Physical Sciences,Not applicable,Pharmacological chemistry,3.33 - 3.81,0.456140351,3.14 - 3.74,0.423076923,26,57,11
Physical Sciences,Not applicable,Physics,3.50 - 3.84,0.531746032,3.25 - 3.73,0.119402985,67,126,8
Psychology,Not applicable,Psychology,3.42 - 3.88,0.461538462,3.29 - 3.78,0.340909091,396,858,135
Psychology,Not applicable,Psychology with a specialization in clinical psychology,3.34 - 3.83,0.431578947,3.33 - 3.64,0.487804878,41,95,20
Psychology,Not applicable,Psychology with a specialization in cognitive psychology,3.37 - 3.84,0.534883721,3.19 - 3.57,0.47826087,23,43,11
Psychology,Not applicable,Psychology with a specialization in developmental psychology,3.28 - 3.59,0.291666667,masked,0.571428571,7,24,4
Psychology,Not applicable,Psychology with a specialization in human health,3.38 - 3.76,0.65,3.35 - 3.73,0.384615385,26,40,10
Psychology,Not applicable,Psychology with a specialization in social psychology,3.45 - 3.80,0.288135593,3.47 - 3.64,0.352941176,17,59,6
Public Health,Not applicable,Global health,3.24 - 3.73,0.700934579,3.05 - 3.56,0.386666667,75,107,29
Public Health,Not applicable,Public health,3.43 - 3.70,0.342657343,3.40 - 3.66,0.571428571,49,143,28
Social Sciences,Not applicable,Anthropology(concentration in sociocultral anthropology),3.48 - 3.84,0.554973822,3.14 - 3.54,0.188679245,106,191,20
Social Sciences,Not applicable,Economics,3.55 - 3.93,0.418079096,3.43 - 3.87,0.351351351,814,1947,286
Social Sciences,Not applicable,Political science,3.46 - 3.86,0.640202703,3.12 - 3.62,0.237467018,379,592,90
Social Sciences,Not applicable,Political science - american politics,3.35 - 3.76,0.541666667,3.10 - 3.41,0.423076923,26,48,11
Social Sciences,Not applicable,Political science - international relations,3.44 - 3.84,0.625,3.22 - 3.65,0.375,120,192,45
Social Sciences,Not applicable,Political science - public law,3.30 - 3.69,0.572463768,3.12 - 3.56,0.367088608,79,138,29
Social Sciences,Not applicable,Political science - public policy,3.37 - 3.83,0.533333333,3.04 - 3.40,0.225,40,75,9
Social Sciences,Not applicable,Sociology,3.35 - 3.88,0.576811594,3.09 - 3.70,0.198492462,398,690,79
Social Sciences,Not applicable,Sociology - culture and communications,3.40 - 3.73,0.467741935,3.22 - 3.69,0.24137931,29,62,7
Social Sciences,Not applicable,Sociology - economy and society,3.39 - 3.79,0.62,3.13 - 3.62,0.193548387,31,50,6
Social Sciences,Not applicable,Sociology - law and society,3.36 - 3.81,0.618421053,3.15 - 3.64,0.223404255,94,152,21
Social Sciences,Not applicable,Sociology - science and medicine,3.29 - 3.79,0.75,3.03 - 3.48,0.307692308,39,52,12
Social Sciences,Not applicable,Sociology - social inequality,3.26 - 3.75,0.594594595,3.37 - 3.72,0.318181818,22,37,7
Social Sciences,Not applicable,Urban studies & planning,3.56 - 3.83,0.581081081,3.06 - 3.30,0.186046512,43,74,8
