Broad discipline,College/School,Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls
Agriculture & Natural Resources,Not applicable,Environmental systems - environmental chemistry,3.37 - 3.80,0.6,3.37 - 3.86,0.555555556,9,15,5
Agriculture & Natural Resources,Not applicable,Environmental systems - environmental policy,3.37 - 3.78,0.490196078,masked,0.12,25,51,3
"Area, Ethn, Cultur & Gender Stu",Not applicable,Chinese studies,3.15 - 3.68,0.355263158,2.92 - 3.34,0.222222222,27,76,6
"Area, Ethn, Cultur & Gender Stu",Not applicable,Japanese studies,3.26 - 3.85,0.594202899,3.19 - 3.65,0.219512195,41,69,9
Biological Sciences,Not applicable,Biochemistry & cell biology,3.56 - 3.91,0.575620767,3.46 - 3.82,0.317647059,255,443,81
Biological Sciences,Not applicable,Biology,3.48 - 3.85,0.419064748,3.46 - 3.88,0.412017167,233,556,96
Biological Sciences,Not applicable,Chemistry - bioinformatics,3.36 - 3.91,0.777777778,masked,0.428571429,7,9,3
Biological Sciences,Not applicable,"Ecology, behavior & evolution",3.50 - 3.63,0.333333333,3.48 - 3.60,0.315789474,19,57,6
Biological Sciences,Not applicable,Human biology,3.51 - 3.87,0.502183406,3.43 - 3.78,0.4,230,458,92
Biological Sciences,Not applicable,Marine biology,3.45 - 3.75,0.376470588,3.30 - 3.69,0.65625,32,85,21
Biological Sciences,Not applicable,Microbiology,3.42 - 3.78,0.434782609,3.14 - 3.51,0.275,40,92,11
Biological Sciences,Not applicable,Molecular biology,3.54 - 3.90,0.54954955,3.40 - 3.74,0.180327869,61,111,11
Biological Sciences,Not applicable,Physiology & neuroscience,3.51 - 3.86,0.389344262,3.38 - 3.67,0.284210526,95,244,27
Business & Management,Not applicable,Management science,3.50 - 3.90,0.543478261,3.41 - 3.77,0.35,100,184,35
"Communication, Journalism & Rel",Not applicable,Communication arts,3.43 - 3.80,0.503208066,3.39 - 3.71,0.276867031,549,1091,152
Computer & Information Sciences,Not applicable,Computer science,3.75 - 4.00,0.249710983,3.69 - 3.93,0.481481481,216,865,104
Engineering,Not applicable,Aerospace engineering,3.62 - 3.91,0.311594203,3.67 - 3.80,0.395348837,43,138,17
Engineering,Not applicable,Bioengineering,3.86 - 4.00,0.264705882,3.89 - 3.94,0.407407407,27,102,11
Engineering,Not applicable,Bioengineering (biotech),3.60 - 3.88,0.480769231,3.62 - 3.82,0.6,25,52,15
Engineering,Not applicable,Chemical engineering,3.81 - 4.00,0.374193548,3.79 - 3.86,0.086206897,58,155,5
Engineering,Not applicable,Computer engineering,3.74 - 3.99,0.306878307,3.60 - 3.90,0.362068966,58,189,21
Engineering,Not applicable,Electrical engineering - bs,3.68 - 3.97,0.359756098,3.59 - 3.83,0.203389831,118,328,24
Engineering,Not applicable,Environmental engineering,3.40 - 3.81,0.530612245,3.66 - 3.83,0.269230769,26,49,7
Engineering,Not applicable,Mechanical engineering,3.74 - 3.96,0.267734554,3.66 - 3.92,0.162393162,117,437,19
Engineering,Not applicable,Nanoengineering,3.53 - 3.75,0.596774194,3.49 - 3.74,0.432432432,37,62,16
Engineering,Not applicable,Structural engineering,3.53 - 3.84,0.507575758,3.47 - 3.74,0.388059701,67,132,26
